tree,len
"(n3:26029.99501964534283616,(n0:8044.79120597164910578,(n1:5895.47305699133721646,n2:5895.47305699133721646):2149.31814898031279881):17985.20381367369191139);",50.0
"(n3:26029.99501964534283616,(n0:8211.14566303411993431,(n1:5895.47305699133721646,n2:5895.47305699133721646):2315.67260604278271785):17818.84935661122290185);",3860.0
"(n3:26029.99501964534283616,(n0:8211.14566303411993431,(n1:7124.39535781181803031,n2:7124.39535781181803031):1086.75030522230190400):17818.84935661122290185);",43353.0
"(n3:25238.73698207574852859,(n0:8211.14566303411993431,(n1:7124.39535781181803031,n2:7124.39535781181803031):1086.75030522230190400):17027.59131904162859428);",25625.0
"(n3:25238.73698207574852859,(n2:8211.14566303411993431,(n0:4135.92825831053778529,n1:4135.92825831053778529):4075.21740472358123952):17027.59131904162859428);",6756.0
"(n3:25238.73698207574852859,(n2:7591.37609239117864490,(n0:4135.92825831053778529,n1:4135.92825831053778529):3455.44783408063995012):17647.36088968456897419);",26774.0
"(n3:25238.73698207574852859,(n2:8211.14566303411993431,(n0:4135.92825831053778529,n1:4135.92825831053778529):4075.21740472358123952):17027.59131904162859428);",6313.0
"(n3:25413.16361276251336676,(n2:8211.14566303411993431,(n0:4135.92825831053778529,n1:4135.92825831053778529):4075.21740472358123952):17202.01794972839343245);",1686.0
"(n3:25413.16361276251336676,(n2:9243.79241591799109301,(n0:4135.92825831053778529,n1:4135.92825831053778529):5107.86415760745239822):16169.37119684452227375);",41148.0
"(n3:25413.16361276251336676,(n2:8029.16130026492373872,(n0:4135.92825831053778529,n1:4135.92825831053778529):3893.23304195438504394):17384.00231249758871854);",1079.0
"(n3:25413.16361276251336676,(n2:6347.60602578007456032,(n0:4135.92825831053778529,n1:4135.92825831053778529):2211.67776746953586553):19065.55758698243880644);",3218.0
"(n3:25413.16361276251336676,(n2:5398.01509328980864666,(n0:4135.92825831053778529,n1:4135.92825831053778529):1262.08683497926995187):20015.14851947270653909);",9351.0
