start,end,name
81107,82988,24
82989,83574,38
83575,83676,72
83677,84542,75
84543,85020,1
85021,85314,0
85315,86014,64
86015,88138,36
88139,88548,39
88549,88802,41
88803,89283,47
89284,89319,47
89320,89599,64
89600,90236,64
90237,91127,36
91128,91489,1
91490,92475,36
92476,93248,1
93249,93936,3
93937,94585,3
94586,94632,17
94633,95004,17
95005,95750,19
95751,95883,96
95884,96062,19
96063,96760,18
96761,96771,95
96772,96778,101
96779,96999,101
97000,97892,101
97893,98378,95
98379,99391,101
99392,100278,101
100279,100737,110
100738,101570,110
101571,101711,110
101712,102008,110
102009,102084,38
102085,102089,110
102090,102333,44
102334,102747,44
102748,102931,44
102932,103327,10
103328,103497,11
103498,103558,11
103559,103905,11
103906,104043,11
104044,104298,11
104299,104526,25
104527,104955,22
104956,105973,22
105974,106971,8
106972,107440,8
107441,107444,22
107445,108402,21
108403,108556,21
108557,109834,21
109835,110106,25
110107,110360,11
110361,110607,11
110608,110772,25
110773,111049,25
111050,111423,25
111424,113148,25
113149,114738,23
114739,115688,23
115689,115803,23
115804,117367,26
117368,117846,26
117847,117913,26
117914,118051,26
118052,118408,26
118409,118659,26
118660,118788,27
118789,118979,23
118980,119266,16
119267,119345,16
119346,119443,14
119444,119949,16
119950,119964,37
119965,120056,23
120057,120295,23
120296,120515,80
120516,121067,80
121068,121504,118
121505,121669,118
121670,121709,118
121710,121814,118
121815,121982,118
121983,122088,6
122089,122571,6
122572,123165,5
123166,123378,5
123379,123385,6
123386,123425,84
123426,123587,69
123588,124197,69
124198,124712,14
124713,125407,63
125408,125708,69
125709,126715,63
126716,126899,63
126900,127361,63
127362,127722,94
127723,127769,0
127770,128311,63
128312,128629,63
128630,128750,63
128751,128776,63
128777,129207,63
129208,129625,37
129626,130015,93
130016,130203,93
130204,130287,37
130288,130380,9
130381,130391,11
130392,130395,11
130396,130762,12
130763,130925,58
130926,130987,59
130988,131264,59
131265,131272,59
131273,131595,67
131596,131813,67
131814,131855,67
131856,132172,7
132173,132177,13
132178,132211,13
132212,133625,41
133626,134142,13
134143,134813,13
134814,135285,8
135286,135286,103
135287,135759,41
135760,135910,41
135911,136132,41
136133,136491,27
136492,136558,26
136559,136719,26
136720,136831,21
136832,137455,21
137456,138172,7
138173,139770,91
139771,140484,21
140485,140960,21
140961,141246,26
141247,141670,26
141671,141801,26
141802,143712,26
143713,144024,26
144025,145072,26
145073,145207,26
145208,145348,26
145349,145373,26
145374,146741,25
146742,147230,22
147231,147463,36
147464,147500,38
147501,147532,38
147533,148915,38
148916,149181,36
149182,151195,92
151196,151318,95
151319,151412,94
151413,151964,72
151965,152173,75
152174,152842,75
152843,153975,75
153976,154014,75
154015,154061,62
154062,154160,34
154161,154517,34
154518,154839,59
154840,154882,56
154883,155154,100
155155,155833,100
155834,156000,77
156001,156059,16
156060,156236,17
156237,156412,17
156413,156596,100
156597,156904,100
156905,156980,17
156981,157182,100
157183,157452,77
157453,158299,77
158300,158414,17
158415,158583,17
158584,158756,17
158757,158922,81
158923,159015,72
159016,159171,94
159172,160194,17
160195,161334,14
161335,161494,14
161495,161564,94
161565,161930,14
161931,161971,97
161972,162354,97
162355,163148,94
163149,163504,94
163505,163524,94
163525,164028,94
164029,164711,94
164712,164928,100
164929,165164,54
165165,165427,54
165428,165516,54
165517,165636,54
165637,165696,100
165697,165747,100
165748,165973,15
165974,166130,15
166131,166350,100
166351,166809,17
166810,166952,100
166953,167221,100
167222,167444,66
167445,167633,94
167634,167707,28
167708,167891,31
167892,167901,66
167902,167917,94
167918,168140,17
168141,168181,66
168182,168446,68
168447,168529,68
168530,168952,68
168953,169348,68
169349,169697,12
169698,169893,12
169894,170146,26
170147,170196,26
170197,170336,25
170337,170679,25
170680,170770,25
170771,171014,25
171015,171147,27
171148,171157,27
171158,171917,26
171918,171921,26
171922,172621,68
172622,173451,12
173452,173463,13
173464,173513,34
173514,173695,34
173696,174079,84
174080,175274,94
175275,175974,92
175975,176161,97
176162,176485,112
176486,176780,112
176781,176802,77
176803,177470,10
177471,177580,11
177581,178174,54
178175,178886,50
178887,178943,50
178944,179870,52
179871,180162,6
180163,180765,6
180766,182437,27
182438,182760,25
182761,183132,54
183133,183176,54
183177,183925,18
183926,184357,18
184358,184888,45
184889,185273,45
185274,185953,50
185954,185978,50
185979,186143,32
186144,187699,50
187700,187907,54
187908,188279,105
188280,188504,108
188505,188771,107
188772,189274,5
189275,189322,5
189323,189356,5
189357,189401,6
189402,189531,6
189532,189736,6
189737,189868,5
189869,190668,5
190669,191758,6
191759,192414,6
192415,192669,6
192670,193224,1
193225,193818,1
193819,193907,0
193908,195404,0
195405,195580,0
195581,196393,14
196394,196695,14
196696,197134,14
197135,197727,19
197728,198057,19
198058,198254,19
198255,198594,20
198595,198869,20
198870,198946,20
198947,199417,19
199418,199747,46
199748,199999,19
