n_int_AB,n_int_ABC,rep,time_trans,time_post
3,5,0,157.0353808403015,71.34277510643005
3,5,1,159.93045806884766,71.39684009552002
3,5,2,161.43950986862183,72.62496995925903
3,5,3,163.80197620391846,71.3713128566742
3,5,4,156.5693712234497,71.50931787490845
3,6,0,224.2450430393219,73.76286792755127
3,6,1,225.57523202896118,73.83240604400635
3,6,2,227.75876998901367,75.12599277496338
3,6,3,227.57249808311462,75.43181109428406
3,6,4,233.43428421020508,75.05974888801575
3,7,0,308.39118480682373,124.20522999763489
3,7,1,299.8436059951782,125.17051219940186
3,7,2,295.3188180923462,125.68439602851868
3,7,3,304.0744299888611,133.39639019966125
3,7,4,298.79425597190857,120.01139879226685
4,1,0,5.919999122619629,67.43801403045654
4,1,1,6.173084020614624,68.0941870212555
4,1,2,7.000079870223999,67.4550051689148
4,1,3,5.497657060623169,67.58671522140503
4,1,4,5.732908248901367,67.52573704719543
4,2,0,35.403209924697876,68.85925006866455
4,2,1,35.31354594230652,68.30436110496521
4,2,2,37.240984201431274,68.61649990081787
4,2,3,35.531853914260864,68.2073929309845
4,2,4,37.804563999176025,68.0049250125885
4,3,0,79.55529379844666,69.7904269695282
4,3,1,81.5303213596344,69.19468784332275
4,3,2,81.49862313270569,70.04390978813171
4,3,3,82.59254598617554,69.91162300109863
4,3,4,80.04433298110962,69.8235239982605
4,4,0,155.97618103027344,70.44958519935608
4,4,1,154.36538195610046,70.82816100120544
4,4,2,152.9318869113922,70.69027709960938
4,4,3,153.73971891403198,70.3198630809784
4,4,4,154.1657910346985,71.54804706573486
4,5,0,164.695081949234,73.47324419021606
4,5,1,164.74243211746216,73.24066996574402
4,5,2,162.08553528785706,73.29583787918091
4,5,3,160.48819398880005,73.34083104133606
4,5,4,162.9167640209198,73.35718703269958
4,6,0,241.42467093467712,74.0723180770874
4,6,1,236.35802221298218,74.44531464576721
4,6,2,236.10933303833008,75.64736008644104
4,6,3,237.3438539505005,74.72669696807861
4,6,4,238.46091890335083,74.57395100593567
4,7,0,298.2861020565033,129.15523314476013
4,7,1,328.50214886665344,120.50437927246094
4,7,2,307.15745186805725,120.32790398597717
4,7,3,299.81699681282043,117.61984014511108
4,7,4,303.6888208389282,116.32840299606323
5,1,0,6.619334936141968,68.27512812614441
5,1,1,6.958315134048462,68.24204897880554
5,1,2,6.040707111358643,67.59675788879395
5,1,3,6.39505410194397,67.3519229888916
5,1,4,6.110489845275879,67.25482225418091
5,2,0,39.65953302383423,68.15887999534607
5,2,1,36.73817992210388,68.4370231628418
